group	statistic	estimate	lower	upper	accepted	rejected	rejection_fraction
Apoptosis executioners	здоровая	1.9433040618896484	-1.7549171447753906	4.792943954467773	2000	467	0.1893
Apoptosis executioners	пациент	2.1276588439941406	0.341147232055664	5.014238357543945	2000	1128	0.3606
Apoptosis executioners	органоид	5.317132949829102	4.4124755859375	7.3903961181640625	2000	306	0.1327
Apoptosis executioners	2D	0.0362663269042969	-0.9255844116210936	0.942988348007202	2000	0	0.0
Apoptosis executioners	пац−здор	0.8636951446533203	-3.184021949768065	4.152233123779295	2000	1911	0.4886
Apoptosis executioners	орг−2D	4.867153167724609	3.8746197700500487	7.788121080398559	2000	345	0.1471
Apoptosis initiators	здоровая	-5.102051258087158	-8.242171001434325	-2.8983325958251958	2000	495	0.1984
Apoptosis initiators	пациент	-2.869450569152832	-3.8857081651687615	-1.3140034675598145	2000	1192	0.3734
Apoptosis initiators	органоид	2.1565427780151367	1.8489148139953613	2.4938210368156426	2000	303	0.1316
Apoptosis initiators	2D	0.0423107147216797	-0.2233431100845337	0.2992420434951779	2000	0	0.0
Apoptosis initiators	пац−здор	3.313722133636474	-0.4253331661224365	5.361128282546996	2000	1822	0.4767
Apoptosis initiators	орг−2D	1.9926700592041016	1.605431318283081	2.526315832138061	2000	312	0.1349
BRAKES	здоровая	18.6422061920166	15.794077396392822	20.78732681274414	2000	453	0.1847
BRAKES	пациент	9.122809410095217	8.172348928451537	12.239137411117552	2000	1117	0.3584
BRAKES	органоид	1.3794870376586914	0.5446758270263672	2.113734483718872	2000	297	0.1293
BRAKES	2D	-0.0822715759277343	-0.6340772271156311	0.4419697046279904	2000	0	0.0
BRAKES	пац−здор	-9.04490089416504	-11.323516631126404	-5.5151839256286666	2000	1878	0.4843
BRAKES	орг−2D	1.5849981307983398	0.4186079859733582	2.405554151535031	2000	317	0.1368
ENTRY adaptors	здоровая	-0.8761157989501953	-5.398399353027344	0.1558151245117187	2000	477	0.1926
ENTRY adaptors	пациент	4.497098922729492	1.9460193157196048	5.605404424667357	2000	1145	0.3641
ENTRY adaptors	органоид	0.484231948852539	-0.1491310119628906	1.7199945449829102	2000	305	0.1323
ENTRY adaptors	2D	0.2273416519165039	-0.4708162069320679	0.7676486968994141	2000	0	0.0
ENTRY adaptors	пац−здор	8.619102478027344	4.315889239311218	12.540429019927975	2000	1907	0.4881
ENTRY adaptors	орг−2D	0.470463752746582	-0.630255937576294	2.303753685951232	2000	285	0.1247
ENTRY receptors	здоровая	5.414853096008301	1.0927085876464844	9.29239273071289	2000	446	0.1823
ENTRY receptors	пациент	-3.792916774749756	-5.572513365745545	-1.8613667488098145	2000	1180	0.3711
ENTRY receptors	органоид	0.4704618453979488	-2.279527950286865	3.9234521508216846	2000	324	0.1394
ENTRY receptors	2D	-0.1563167572021483	-1.0334733247756958	0.905471968650817	2000	0	0.0
ENTRY receptors	пац−здор	-8.190953254699707	-12.971539318561554	-3.982872390747074	2000	1885	0.4852
ENTRY receptors	орг−2D	0.4993400573730464	-2.3554335832595825	4.073792219161985	2000	297	0.1293
Inhibitory signals	здоровая	8.04672384262085	5.581411361694336	9.905571937561035	2000	484	0.1948
Inhibitory signals	пациент	6.900957584381104	5.696441245079041	8.316880226135254	2000	1188	0.3726
Inhibitory signals	органоид	1.896627426147461	1.031550407409668	3.1525373458862305	2000	336	0.1438
Inhibitory signals	2D	0.2145814895629882	-0.6636445999145508	1.1124550580978378	2000	0	0.0
Inhibitory signals	пац−здор	0.3584742546081543	-1.8032732009887689	3.8088369786739342	2000	1851	0.4807
Inhibitory signals	орг−2D	1.874464988708496	0.5550776958465576	3.604681926965713	2000	306	0.1327
MHC-I presentation	здоровая	5.865167617797852	3.91094970703125	7.0890092849731445	2000	477	0.1926
MHC-I presentation	пациент	7.594229221343994	6.427147018909454	8.914949417114258	2000	1155	0.3661
MHC-I presentation	органоид	2.009457588195801	-0.0077574491500854	3.9389896392822266	2000	315	0.1361
MHC-I presentation	2D	0.3070945739746094	-0.4224396228790283	0.7464998960494995	2000	0	0.0
MHC-I presentation	пац−здор	2.6155881881713867	1.652010989189148	5.083415150642395	2000	1830	0.4778
MHC-I presentation	орг−2D	1.7018613815307615	-0.5450147390365601	4.211739301681519	2000	303	0.1316
NK activating ligands	здоровая	-16.90038776397705	-19.34823703765869	-13.754904747009276	2000	416	0.1722
NK activating ligands	пациент	-10.806536197662354	-12.158604604005813	-10.001243841648105	2000	1145	0.3641
NK activating ligands	органоид	-1.6212670803070068	-3.1608969271183014	-0.328719472885132	2000	313	0.1353
NK activating ligands	2D	0.0322370529174804	-0.8758333206176758	1.0559118747711156	2000	0	0.0
NK activating ligands	пац−здор	5.151919364929199	0.9912948608398438	8.324096894264223	2000	1814	0.4756
NK activating ligands	орг−2D	-1.4923207759857178	-3.780649983882904	0.035697585344314	2000	337	0.1442
Necroptosis executioners	здоровая	-15.66261100769043	-20.36656379699707	-12.129270553588867	2000	428	0.1763
Necroptosis executioners	пациент	-10.69471311569214	-12.901623725891112	-8.639588356018066	2000	1092	0.3532
Necroptosis executioners	органоид	-5.323177099227905	-6.318915116786957	-2.22831421494484	2000	289	0.1263
Necroptosis executioners	2D	0.0176301002502441	-1.6932442426681518	1.000371336936949	2000	0	0.0
Necroptosis executioners	пац−здор	8.642607212066652	2.142073631286623	10.649571847915649	2000	1802	0.474
Necroptosis executioners	орг−2D	-4.956144094467163	-7.047941100597382	-1.4990002989768985	2000	350	0.1489
Necroptosis initiators	здоровая	6.497824668884277	2.728078842163086	8.646974563598633	2000	478	0.1929
Necroptosis initiators	пациент	7.8752946853637695	5.386314392089844	11.745111465454102	2000	1138	0.3627
Necroptosis initiators	органоид	2.88187837600708	0.5389819145202636	5.937702178955078	2000	289	0.1263
Necroptosis initiators	2D	0.0899953842163086	-0.7659377098083496	0.9624577045440672	2000	0	0.0
Necroptosis initiators	пац−здор	4.463518142700195	-0.7207797169685364	9.490382599830625	2000	1903	0.4876
Necroptosis initiators	орг−2D	3.4779324531555176	0.5802203655242919	6.934620940685271	2000	283	0.124
Pyroptosis executioners	здоровая	-1.0634946823120115	-5.683834075927734	3.5387115478515625	2000	474	0.1916
Pyroptosis executioners	пациент	3.8261585235595694	0.8381710052490233	5.364818572998047	2000	1192	0.3734
Pyroptosis executioners	органоид	1.318368911743164	-0.1338363647460937	2.534658432006836	2000	309	0.1338
Pyroptosis executioners	2D	0.2458105087280273	-0.7788162231445312	1.231733322143555	2000	0	0.0
Pyroptosis executioners	пац−здор	1.3103113174438468	-1.2497127532958985	6.454818439483641	2000	1949	0.4935
Pyroptosis executioners	орг−2D	1.3747825622558594	-0.7576506614685059	2.811425590515136	2000	317	0.1368
Pyroptosis initiators	здоровая	2.2435126304626465	-0.3062553405761719	5.029012680053711	2000	405	0.1684
Pyroptosis initiators	пациент	5.633461952209473	1.5291383028030396	7.476377081871033	2000	1145	0.3641
Pyroptosis initiators	органоид	0.9805521965026855	0.0	3.9168272018432617	2000	303	0.1316
Pyroptosis initiators	2D	0.0	0.0	0.2814040184020996	2000	0	0.0
Pyroptosis initiators	пац−здор	4.865477561950684	-1.25221586227417	7.734886813163754	2000	1832	0.4781
Pyroptosis initiators	орг−2D	0.9321956634521484	-0.1452519297599792	3.8815317153930646	2000	296	0.1289
