analysis_group_id	scientific_label	functional_domain	genes	interpretation	reference_dois
ENTRY receptors	Death receptors	Death receptor signaling	FAS;TNFRSF1A;TNFRSF10A;TNFRSF10B	Receptors with established roles in extrinsic apoptosis. TNFRSF1A can also support survival and inflammatory signaling.	10.1038/s41418-017-0012-4
ENTRY adaptors	Death-receptor mediators	Death receptor signaling	FADD;TRADD;CASP8;CASP10;BID	FADD and TRADD are adaptors; CASP8 and CASP10 are initiator caspases; BID links receptor signaling to mitochondrial apoptosis. These genes do not all encode adaptors.	10.1016/S0092-8674(00)81590-1;10.1038/nature09852
BRAKES	Death-inhibitory module	Cell-death inhibition	BCL2;BCL2L1;BIRC2;BIRC3;CFLAR;MCL1;TNFAIP3;XIAP	Selected regulators with established cell-death inhibitory functions. Effects depend on stimulus, isoform and cellular context; an aggregate RNA score is not a resistance measurement.	10.1038/s41418-017-0012-4;10.1038/nature09852
Apoptosis initiators	Mitochondrial apoptosis	Regulated cell-death machinery	APAF1;BAK1;BAX;CASP9;CYCS;DIABLO	Includes mitochondrial permeabilization factors, apoptosome components and an IAP antagonist. CASP9 is the initiator caspase in this set.	10.1038/s41418-017-0012-4
Apoptosis executioners	Executioner caspases	Regulated cell-death machinery	CASP3;CASP6;CASP7	Selected executioner caspases. RNA abundance does not measure proteolytic activation.	10.1038/s41418-017-0012-4
Necroptosis initiators	RIPK1 / RIPK3 / ZBP1	Regulated cell-death machinery	RIPK1;RIPK3;ZBP1	Regulators associated with necroptotic signaling, with additional functions in other death and inflammatory pathways. RIPK1 is not required for every route to RIPK3 activation.	10.1038/s41418-017-0012-4
Necroptosis executioners	MLKL / PGAM5	Regulated cell-death machinery	MLKL;PGAM5	Descriptive two-gene set. MLKL is the terminal necroptotic effector; PGAM5 is a mitochondrial phosphatase and is not an established obligatory necroptotic executor. This score must not be presented as a canonical necroptosis-execution score.	10.4049/jimmunol.1501662;10.1038/s41418-017-0012-4
Pyroptosis initiators	Inflammasome sensors and inflammatory caspases	Regulated cell-death machinery	AIM2;NLRP3;NLRC4;PYCARD;CASP1;CASP4;CASP5	Contains inflammasome sensors, the PYCARD adaptor and inflammatory caspases. Canonical and noncanonical pathways are represented in a combined set.	10.1038/s41418-017-0012-4
Pyroptosis executioners	Gasdermins	Regulated cell-death machinery	GSDMB;GSDMD;GSDME	Selected gasdermins, not the complete family. Pore formation depends on cleavage and, for GSDMB, isoform composition.	10.1126/sciimmunol.adg3196;10.1038/s41418-017-0012-4
MHC-I presentation	MHC-I antigen processing and presentation	Immune recognition and modulation	HLA-A;HLA-B;HLA-C;B2M;TAP1;TAP2;TAPBP;PSMB8;PSMB9;NLRC5;CALR;ERAP1	Selected antigen-processing, peptide-loading and MHC-I regulatory genes. The set concerns TCR-mediated recognition and is not a direct measure of CD19 CAR recognition.	10.1038/nature23477
NK activating ligands	NK receptor ligands	Immune recognition and modulation	MICA;MICB;ULBP1;ULBP2;ULBP3;RAET1E;PVR;NECTIN2	Combines NKG2D ligands with PVR and NECTIN2. PVR and NECTIN2 also engage inhibitory receptor systems and are not exclusively activating ligands.	10.1038/ni.1674;10.1084/jem.20150785
Inhibitory signals	Immune-regulatory ligands	Immune recognition and modulation	HLA-E;CD274;PDCD1LG2;CD47;LGALS9;CEACAM1	Context-dependent immune interactions. HLA-E can engage inhibitory or activating NK receptors; CD47 also affects myeloid phagocytic responses.	10.1038/35869;10.1038/nature23477
