gene	organ	identical_control_set	self_included_baseline	self_included_corrected	controls	control_set_sha256_prefix_baseline	control_set_sha256_prefix_corrected
AIM2	stomach	True	0	0	400	b2d62ba99c567732	b2d62ba99c567732
APAF1	stomach	True	0	0	400	a044bd0a49ecceae	a044bd0a49ecceae
B2M	stomach	True	0	0	400	4c84a87c5d52e057	4c84a87c5d52e057
BAK1	stomach	True	0	0	400	b60d638c837821c1	b60d638c837821c1
BAX	stomach	True	0	0	400	f021fa4736c23ef0	f021fa4736c23ef0
BCL2	stomach	True	0	0	400	d85cfe290c9aee1c	d85cfe290c9aee1c
BCL2L1	stomach	True	0	0	400	deb9769fff6c6514	deb9769fff6c6514
BID	stomach	True	0	0	400	312d60a3e6dabff7	312d60a3e6dabff7
BIRC2	stomach	True	0	0	400	0ada8c96ed1dc67e	0ada8c96ed1dc67e
BIRC3	stomach	True	0	0	400	b57870ba91e49886	b57870ba91e49886
CALR	stomach	True	0	0	400	1f1da488b7b12cd3	1f1da488b7b12cd3
CASP1	stomach	True	0	0	400	91b4fcfd05cf74fb	91b4fcfd05cf74fb
CASP10	stomach	True	0	0	400	ffa5ec49ef18e615	ffa5ec49ef18e615
CASP3	stomach	True	0	0	400	99a9a9279d8b4daa	99a9a9279d8b4daa
CASP4	stomach	True	0	0	400	428e200ce4e982aa	428e200ce4e982aa
CASP5	stomach	True	0	0	400	8cfd625e5d015408	8cfd625e5d015408
CASP6	stomach	True	0	0	400	519e95eddef11e02	519e95eddef11e02
CASP7	stomach	True	0	0	400	13e6c8669fcfb6f4	13e6c8669fcfb6f4
CASP8	stomach	True	0	0	400	f3c3f90b05ff7501	f3c3f90b05ff7501
CASP9	stomach	True	0	0	400	7787281fb5790740	7787281fb5790740
CD274	stomach	True	0	0	400	39f438b23be548b7	39f438b23be548b7
CD47	stomach	True	0	0	400	67fa4beff35965b3	67fa4beff35965b3
CEACAM1	stomach	True	0	0	400	79af0977ca9091d6	79af0977ca9091d6
CFLAR	stomach	True	0	0	400	a8b5c5542bf2c260	a8b5c5542bf2c260
CYCS	stomach	True	0	0	400	7d49c63af6c387eb	7d49c63af6c387eb
DIABLO	stomach	True	0	0	400	d1f7b936f012c6d4	d1f7b936f012c6d4
ERAP1	stomach	True	0	0	400	a8291939fcd46670	a8291939fcd46670
FADD	stomach	True	0	0	400	5cb3793478d56404	5cb3793478d56404
FAS	stomach	True	0	0	400	5ad24798161acf80	5ad24798161acf80
GSDMB	stomach	True	0	0	400	b8fb41d3c3a553a9	b8fb41d3c3a553a9
GSDMD	stomach	True	0	0	400	bc9ad2260b68e873	bc9ad2260b68e873
GSDME	stomach	True	0	0	400	8ca766fc7ba6883c	8ca766fc7ba6883c
HLA-A	stomach	True	0	0	400	55087296416dc06b	55087296416dc06b
HLA-B	stomach	True	0	0	400	d78ab0ac1476b8d7	d78ab0ac1476b8d7
HLA-C	stomach	True	0	0	400	a0d23b539d269668	a0d23b539d269668
HLA-E	stomach	True	0	0	400	0532575ac52ee251	0532575ac52ee251
LGALS9	stomach	True	0	0	400	27a524c6ddbadfd6	27a524c6ddbadfd6
MCL1	stomach	True	0	0	400	757e569ec7c41c73	757e569ec7c41c73
MICA	stomach	True	0	0	400	3ce147f67143e5e9	3ce147f67143e5e9
MICB	stomach	True	0	0	400	e45974b064451d66	e45974b064451d66
MLKL	stomach	True	0	0	400	8c079f8a1c3b2cce	8c079f8a1c3b2cce
NECTIN2	stomach	True	0	0	400	7e1605b305aee58c	7e1605b305aee58c
NLRC4	stomach	True	0	0	400	fbb27ba81f2c39b7	fbb27ba81f2c39b7
NLRC5	stomach	True	0	0	400	af2b10ab6380f1e9	af2b10ab6380f1e9
NLRP3	stomach	True	0	0	400	463875cc6e79b3f5	463875cc6e79b3f5
PDCD1LG2	stomach	True	0	0	400	35c265ab9d3c4f43	35c265ab9d3c4f43
PGAM5	stomach	True	0	0	400	4f893d21c00e6451	4f893d21c00e6451
PSMB8	stomach	True	0	0	400	d978e3201c6395f2	d978e3201c6395f2
PSMB9	stomach	True	0	0	400	240ab149abed9496	240ab149abed9496
PVR	stomach	True	0	0	400	33d4b84c63cb86fb	33d4b84c63cb86fb
PYCARD	stomach	True	0	0	400	44928d1f8d60d2e3	44928d1f8d60d2e3
RAET1E	stomach	True	0	0	400	e92d94cdf4b07665	e92d94cdf4b07665
RIPK1	stomach	True	0	0	400	19449935573bc3da	19449935573bc3da
RIPK3	stomach	True	0	0	400	fae6187a3e528213	fae6187a3e528213
TAP1	stomach	True	0	0	400	370eb2e74f575187	370eb2e74f575187
TAP2	stomach	True	0	0	400	154f6d0fa8698e4d	154f6d0fa8698e4d
TAPBP	stomach	True	0	0	400	8aaf80eb895b635d	8aaf80eb895b635d
TNFAIP3	stomach	True	0	0	400	645cbdf5cdb0dc51	645cbdf5cdb0dc51
TNFRSF10A	stomach	True	0	0	400	15a902a99c25ac39	15a902a99c25ac39
TNFRSF10B	stomach	True	0	0	400	263595614172e0d0	263595614172e0d0
TNFRSF1A	stomach	True	0	0	400	40fd46541849c97e	40fd46541849c97e
TRADD	stomach	True	0	0	400	79a730874058df5f	79a730874058df5f
ULBP1	stomach	True	0	0	400	8a8ef495b5fd64c3	8a8ef495b5fd64c3
ULBP2	stomach	True	0	0	400	2278b84c98fd9b6e	2278b84c98fd9b6e
ULBP3	stomach	True	0	0	400	0237156e3fff33f9	0237156e3fff33f9
XIAP	stomach	True	0	0	400	208b13a46d9bb738	208b13a46d9bb738
ZBP1	stomach	True	0	0	400	475cda0cfe04f6ef	475cda0cfe04f6ef
AIM2	large_intestine	True	0	0	400	59fdef92ae0f7ce9	59fdef92ae0f7ce9
APAF1	large_intestine	True	0	0	400	2701e2b268085aef	2701e2b268085aef
B2M	large_intestine	True	0	0	400	249a2668fe4251de	249a2668fe4251de
BAK1	large_intestine	True	0	0	400	93b263309b78414b	93b263309b78414b
BAX	large_intestine	True	0	0	400	d23df3f9eddd31e1	d23df3f9eddd31e1
BCL2	large_intestine	True	0	0	400	4378feeb273471fe	4378feeb273471fe
BCL2L1	large_intestine	True	0	0	400	22969c134d350b0e	22969c134d350b0e
BID	large_intestine	True	0	0	400	e2cb28b1715b8e3a	e2cb28b1715b8e3a
BIRC2	large_intestine	True	0	0	400	4907b4350d658b26	4907b4350d658b26
BIRC3	large_intestine	True	0	0	400	b772ceb78e75307b	b772ceb78e75307b
CALR	large_intestine	True	0	0	400	a3ab8551a17746fe	a3ab8551a17746fe
CASP1	large_intestine	True	0	0	400	1db20d69175f8267	1db20d69175f8267
CASP10	large_intestine	True	0	0	400	074bb2cb252639e5	074bb2cb252639e5
CASP3	large_intestine	True	0	0	400	583b75892a8e3cc8	583b75892a8e3cc8
CASP4	large_intestine	True	0	0	400	0f1d599230f26a70	0f1d599230f26a70
CASP5	large_intestine	True	0	0	400	41aae549e5b13f84	41aae549e5b13f84
CASP6	large_intestine	True	0	0	400	e0d45685ee24c3ad	e0d45685ee24c3ad
CASP7	large_intestine	True	0	0	400	7111bdf3561e1f64	7111bdf3561e1f64
CASP8	large_intestine	True	0	0	400	5c6e32dc2a9756be	5c6e32dc2a9756be
CASP9	large_intestine	True	0	0	400	15a38bdbe8fb05d7	15a38bdbe8fb05d7
CD274	large_intestine	True	0	0	400	49f01645f1f12236	49f01645f1f12236
CD47	large_intestine	True	0	0	400	526bf6864cd1da0d	526bf6864cd1da0d
CEACAM1	large_intestine	True	0	0	400	dc971a8cd09fd5fb	dc971a8cd09fd5fb
CFLAR	large_intestine	True	0	0	400	391b28260d956364	391b28260d956364
CYCS	large_intestine	True	0	0	400	6774fa540851a65f	6774fa540851a65f
DIABLO	large_intestine	True	0	0	400	ac1a56f3c5ed0915	ac1a56f3c5ed0915
ERAP1	large_intestine	True	0	0	400	daa406c55327ffc4	daa406c55327ffc4
FADD	large_intestine	True	0	0	400	c9561c1edf91bbb7	c9561c1edf91bbb7
FAS	large_intestine	True	0	0	400	a02bbf468392c342	a02bbf468392c342
GSDMB	large_intestine	True	0	0	400	1ebd36e3cbf13a96	1ebd36e3cbf13a96
GSDMD	large_intestine	True	0	0	400	9b8444ea110117a6	9b8444ea110117a6
GSDME	large_intestine	True	0	0	400	99b336a97ce2dcf3	99b336a97ce2dcf3
HLA-A	large_intestine	True	0	0	400	4a67f175d6ffe57a	4a67f175d6ffe57a
HLA-B	large_intestine	True	0	0	400	b71331eadf5e2fcb	b71331eadf5e2fcb
HLA-C	large_intestine	True	0	0	400	2311a10b5070e2dd	2311a10b5070e2dd
HLA-E	large_intestine	True	0	0	400	e311210619dd6155	e311210619dd6155
LGALS9	large_intestine	True	0	0	400	9757a98ef440f5ae	9757a98ef440f5ae
MCL1	large_intestine	True	0	0	400	1746f3b89f16c92f	1746f3b89f16c92f
MICA	large_intestine	True	0	0	400	b95c4d8945bfafba	b95c4d8945bfafba
MICB	large_intestine	True	0	0	400	4199698d870d113a	4199698d870d113a
MLKL	large_intestine	True	0	0	400	a59ed439e643c7ac	a59ed439e643c7ac
NECTIN2	large_intestine	True	0	0	400	0a2f92b92df63f99	0a2f92b92df63f99
NLRC4	large_intestine	True	0	0	400	6e33b47b675030c5	6e33b47b675030c5
NLRC5	large_intestine	True	0	0	400	ee265fc5c034d4a7	ee265fc5c034d4a7
NLRP3	large_intestine	True	0	0	400	a297ce8acd8ac6f2	a297ce8acd8ac6f2
PDCD1LG2	large_intestine	True	0	0	400	79944df064753807	79944df064753807
PGAM5	large_intestine	True	0	0	400	138fe4875790acb1	138fe4875790acb1
PSMB8	large_intestine	True	0	0	400	ce1429f27bdafbe3	ce1429f27bdafbe3
PSMB9	large_intestine	True	0	0	400	475ca55e489181c7	475ca55e489181c7
PVR	large_intestine	True	0	0	400	e78a55e26b5ad78f	e78a55e26b5ad78f
PYCARD	large_intestine	True	0	0	400	79d97b04e41d6220	79d97b04e41d6220
RAET1E	large_intestine	True	0	0	400	0296a8b5dc3c934a	0296a8b5dc3c934a
RIPK1	large_intestine	True	0	0	400	bf0339609b57a7c8	bf0339609b57a7c8
RIPK3	large_intestine	True	0	0	400	fcc8a39576f963ab	fcc8a39576f963ab
TAP1	large_intestine	True	0	0	400	1f74989446f75d43	1f74989446f75d43
TAP2	large_intestine	True	0	0	400	2474d0c5ccd004e9	2474d0c5ccd004e9
TAPBP	large_intestine	True	0	0	400	332e47a4017645ac	332e47a4017645ac
TNFAIP3	large_intestine	True	0	0	400	ceaf3b7f5ea2d539	ceaf3b7f5ea2d539
TNFRSF10A	large_intestine	True	0	0	400	6dfb0565719848d0	6dfb0565719848d0
TNFRSF10B	large_intestine	True	0	0	400	cd02873eba426358	cd02873eba426358
TNFRSF1A	large_intestine	True	0	0	400	8d5c4e9e6d6673cc	8d5c4e9e6d6673cc
TRADD	large_intestine	True	0	0	400	167441aa690510a9	167441aa690510a9
ULBP1	large_intestine	True	0	0	400	64e6b913092a8f4f	64e6b913092a8f4f
ULBP2	large_intestine	True	0	0	400	e4ca62043f8f87a2	e4ca62043f8f87a2
ULBP3	large_intestine	True	0	0	400	990c72a1830f3047	990c72a1830f3047
XIAP	large_intestine	True	0	0	400	addd060278668a82	addd060278668a82
ZBP1	large_intestine	True	0	0	400	8f87b1ba118f10a3	8f87b1ba118f10a3
AIM2	lung	True	0	0	400	e8ce839f560bdfe0	e8ce839f560bdfe0
APAF1	lung	True	0	0	400	766f876e6f2bdbb5	766f876e6f2bdbb5
B2M	lung	True	0	0	400	e6dd85d4b8b80975	e6dd85d4b8b80975
BAK1	lung	True	0	0	400	5bb8208f10bfb160	5bb8208f10bfb160
BAX	lung	True	0	0	400	aa715d8b7d1faf0f	aa715d8b7d1faf0f
BCL2	lung	True	0	0	400	42407e359b554d3d	42407e359b554d3d
BCL2L1	lung	True	0	0	400	cf3877123648faf3	cf3877123648faf3
BID	lung	True	0	0	400	6b4e76425d3ab847	6b4e76425d3ab847
BIRC2	lung	True	0	0	400	ba80a14c6d6ecd1b	ba80a14c6d6ecd1b
BIRC3	lung	True	0	0	400	b48cd82eae8a631c	b48cd82eae8a631c
CALR	lung	True	0	0	400	cde795d2f0aba911	cde795d2f0aba911
CASP1	lung	True	0	0	400	c0318ca2b5c7ce6a	c0318ca2b5c7ce6a
CASP10	lung	True	0	0	400	261dae32a6b5bc26	261dae32a6b5bc26
CASP3	lung	True	0	0	400	a2dcccdf50775c07	a2dcccdf50775c07
CASP4	lung	True	0	0	400	47b319a80410949a	47b319a80410949a
CASP5	lung	True	0	0	400	b6961ed71bda7a3e	b6961ed71bda7a3e
CASP6	lung	True	0	0	400	8e93a5eaeca09d63	8e93a5eaeca09d63
