gene	organ	self_included_baseline	self_included_corrected	controls_baseline	controls_corrected	removed_gene	added_gene	retained_order_preserved	reference_rank_target	max_control_gap_baseline	max_control_gap_corrected
TCL1A	stomach	1	0	400	400	TCL1A	RGS1	True	24.048999786376953	0.9456272125244141	0.9509983062744141
SDHA	stomach	1	0	400	400	SDHA	DPM1	True	93.7379150390625	1.2545623779296875	1.2572479248046875
ANLN	stomach	1	0	400	400	ANLN	MAF1	True	90.96281433105469	1.1256256103515625	1.1309814453125
ZFP64	stomach	1	0	400	400	ZFP64	GRB10	True	65.28852844238281	1.0530853271484375	1.0557708740234375
PRSS12	stomach	1	0	400	400	PRSS12	ELL3	True	49.83612823486328	1.1524810791015625	1.1551704406738281
MPST	stomach	1	0	400	400	MPST	AKR7A2	True	79.08338928222656	1.007415771484375	1.012786865234375
SYNDIG1	stomach	1	0	400	400	SYNDIG1	CST5	True	13.966794967651367	2.1894474029541016	2.1894474029541016
PPP1R3B	stomach	1	0	400	400	PPP1R3B	C1orf21	True	47.66279602050781	1.1175537109375	1.1175613403320312
SRCAP	stomach	1	0	400	400	SRCAP	BRCC3	True	71.25779724121094	0.996673583984375	0.9993438720703125
FTMT	stomach	1	0	400	400	FTMT	PRAMEF33	True	7.994841575622559	0.0	0.0
RAB5A	stomach	1	0	400	400	RAB5A	DNTTIP2	True	85.48516845703125	1.1068115234375	1.1094970703125
MRPL50	stomach	1	0	400	400	MRPL50	PTPN23	True	70.99452209472656	0.9966659545898438	0.996673583984375
NAGA	stomach	1	0	400	400	NAGA	DYRK2	True	65.32076263427734	1.0503921508789062	1.0530853271484375
TAFA3	stomach	1	0	400	400	TAFA3	SLC2A5	True	25.08327865600586	0.8918991088867188	0.8972721099853516
FYB1	stomach	1	0	400	400	FYB1	ANKRD20A1	True	23.965721130371094	0.9402542114257812	0.9429397583007812
HMOX2	stomach	1	0	400	400	HMOX2	WDR74	True	86.91972351074219	1.1175689697265625	1.1202545166015625
TMEM266	stomach	1	0	400	400	TMEM266	SEMA4A	True	32.96260452270508	1.0638313293457031	1.0665168762207031
SCAMP1	stomach	1	0	400	400	SCAMP1	ETNK1	True	79.58038330078125	1.0020294189453125	1.002044677734375
TRA2B	stomach	1	0	400	400	TRA2B	AP2S1	True	97.33505249023438	1.3082962036132812	1.3109817504882812
FOXO1	stomach	1	0	400	400	FOXO1	HERC3	True	48.48753356933594	1.0906906127929688	1.0933837890625
CEP44	stomach	1	0	400	400	CEP44	WDFY3	True	62.696109771728516	0.9899520874023438	0.9912948608398438
IZUMO3	stomach	1	0	400	400	IZUMO3	C1QB	True	8.086180686950684	0.091339111328125	0.091339111328125
DENND10	stomach	1	0	400	400	DENND10	MBD2	True	77.14378356933594	1.165924072265625	1.1685943603515625
SLC1A2	stomach	1	0	400	400	SLC1A2	KCNN2	True	24.661510467529297	0.9093608856201172	0.92144775390625
UBE2M	stomach	1	0	400	400	UBE2M	CDK2AP2	True	92.14216613769531	1.176666259765625	1.176666259765625
FSHR	stomach	1	0	400	400	FSHR	C1QB	True	8.086180686950684	0.091339111328125	0.091339111328125
