модель,группа,генов,значение,полоса_lo,полоса_hi,вне_полосы,повторов,ρ_между_повторами,в_единицах_полосы,знак_совпал,все_повторы_согласны,разброс_повторов,ρ_полубиблиотек
SK-MEL-2 (IFN-γ),ENTRY receptors,4,0.764,-0.87,0.64,True,2,0.116,1.01,2.0,True,+0.60…+0.90,
SK-MEL-2 (IFN-γ),ENTRY adaptors,5,-0.364,-0.792,0.669,False,2,0.116,-0.5,1.0,False,-0.82…+0.07,
SK-MEL-2 (IFN-γ),BRAKES,8,-0.925,-0.688,0.497,True,2,0.116,-1.56,2.0,True,-1.34…-0.67,
SK-MEL-2 (IFN-γ),Apoptosis initiators,6,1.192,-0.68,0.597,True,2,0.116,1.87,2.0,True,+1.20…+1.29,
SK-MEL-2 (IFN-γ),Apoptosis executioners,3,0.427,-0.994,0.843,False,2,0.116,0.46,2.0,True,+0.19…+0.45,
SK-MEL-2 (IFN-γ),Necroptosis initiators,3,0.514,-1.015,0.834,False,2,0.116,0.56,2.0,True,+0.46…+0.95,
SK-MEL-2 (IFN-γ),Necroptosis executioners,2,-0.303,-1.091,0.917,False,2,0.116,-0.3,1.0,False,-0.85…+0.21,
SK-MEL-2 (IFN-γ),Pyroptosis initiators,7,0.121,-0.666,0.553,False,2,0.116,0.2,1.0,False,-0.14…+0.34,
SK-MEL-2 (IFN-γ),Pyroptosis executioners,3,-0.236,-1.065,0.813,False,2,0.116,-0.25,2.0,True,-0.52…-0.02,
SK-MEL-2 (IFN-γ),MHC-I presentation,12,0.091,-0.497,0.448,False,2,0.116,0.19,1.0,False,-0.06…+0.06,
SK-MEL-2 (IFN-γ),NK activating ligands,8,0.097,-0.629,0.517,False,2,0.116,0.17,1.0,False,-0.21…+0.55,
SK-MEL-2 (IFN-γ),Inhibitory signals,6,-0.007,-0.691,0.605,False,2,0.116,-0.01,1.0,False,-0.17…+0.12,
A375 (IFN-γ),ENTRY receptors,4,0.557,-0.286,0.435,True,2,0.353,1.55,2.0,True,+0.43…+0.67,
A375 (IFN-γ),ENTRY adaptors,5,0.326,-0.289,0.358,False,2,0.353,1.01,2.0,True,+0.25…+0.39,
A375 (IFN-γ),BRAKES,8,-0.541,-0.227,0.261,True,2,0.353,-2.22,2.0,True,-0.46…-0.45,
A375 (IFN-γ),Apoptosis initiators,6,0.765,-0.25,0.302,True,2,0.353,2.77,2.0,True,+0.62…+0.90,
A375 (IFN-γ),Apoptosis executioners,3,0.004,-0.349,0.521,False,2,0.353,0.01,1.0,False,-0.05…+0.08,
A375 (IFN-γ),Necroptosis initiators,3,-0.303,-0.349,0.523,False,2,0.353,-0.69,2.0,True,-0.53…-0.41,
A375 (IFN-γ),Necroptosis executioners,2,0.361,-0.417,0.757,False,2,0.353,0.61,2.0,True,+0.19…+0.52,
A375 (IFN-γ),Pyroptosis initiators,7,-0.013,-0.243,0.303,False,2,0.353,-0.05,2.0,True,-0.07…-0.00,
A375 (IFN-γ),Pyroptosis executioners,3,-0.042,-0.338,0.494,False,2,0.353,-0.1,1.0,False,-0.28…+0.25,
A375 (IFN-γ),MHC-I presentation,12,-0.298,-0.184,0.214,True,2,0.353,-1.5,2.0,True,-0.30…-0.22,
A375 (IFN-γ),NK activating ligands,8,-0.017,-0.213,0.259,False,2,0.353,-0.07,2.0,True,-0.13…-0.07,
A375 (IFN-γ),Inhibitory signals,6,-0.007,-0.231,0.332,False,2,0.353,-0.02,1.0,False,-0.06…+0.05,
HT-29 (IFN-γ),ENTRY receptors,4,-0.069,-0.434,0.472,False,4,0.198,-0.15,3.0,False,-0.36…+0.05,
HT-29 (IFN-γ),ENTRY adaptors,5,0.138,-0.401,0.443,False,4,0.198,0.33,2.0,False,-0.71…+0.45,
HT-29 (IFN-γ),BRAKES,8,-0.506,-0.298,0.31,True,4,0.198,-1.66,4.0,True,-1.00…-0.36,
HT-29 (IFN-γ),Apoptosis initiators,6,0.283,-0.334,0.388,False,4,0.198,0.78,4.0,True,+0.04…+0.60,
HT-29 (IFN-γ),Apoptosis executioners,3,-0.202,-0.498,0.599,False,4,0.198,-0.37,2.0,False,-0.81…+0.09,
HT-29 (IFN-γ),Necroptosis initiators,3,-0.174,-0.493,0.65,False,4,0.198,-0.3,2.0,False,-1.27…+0.39,
HT-29 (IFN-γ),Necroptosis executioners,2,-0.228,-0.59,1.066,False,4,0.198,-0.28,3.0,False,-0.65…+0.03,
HT-29 (IFN-γ),Pyroptosis initiators,7,0.04,-0.333,0.352,False,4,0.198,0.12,2.0,False,-0.45…+0.17,
HT-29 (IFN-γ),Pyroptosis executioners,3,0.189,-0.514,0.596,False,4,0.198,0.34,2.0,False,-0.33…+0.99,
HT-29 (IFN-γ),MHC-I presentation,12,0.063,-0.256,0.26,False,4,0.198,0.24,3.0,False,-0.11…+0.15,
HT-29 (IFN-γ),NK activating ligands,8,-0.042,-0.294,0.303,False,4,0.198,-0.14,2.0,False,-0.34…+0.41,
HT-29 (IFN-γ),Inhibitory signals,6,0.012,-0.348,0.375,False,4,0.198,0.03,2.0,False,-0.36…+0.16,
CRC-9 organoid (IFN-γ),ENTRY receptors,4,0.01,-0.503,0.477,False,2,0.585,0.02,1.0,False,-0.03…+0.04,
CRC-9 organoid (IFN-γ),ENTRY adaptors,5,-0.031,-0.47,0.482,False,2,0.585,-0.07,1.0,False,-0.13…+0.11,
CRC-9 organoid (IFN-γ),BRAKES,8,-0.436,-0.384,0.381,True,2,0.585,-1.14,2.0,True,-0.47…-0.33,
CRC-9 organoid (IFN-γ),Apoptosis initiators,6,0.423,-0.405,0.398,True,2,0.585,1.05,2.0,True,+0.14…+0.56,
CRC-9 organoid (IFN-γ),Apoptosis executioners,3,0.305,-0.597,0.639,False,2,0.585,0.49,2.0,True,+0.30…+0.34,
CRC-9 organoid (IFN-γ),Necroptosis initiators,3,-0.862,-0.581,0.611,True,2,0.585,-1.45,2.0,True,-0.95…-0.66,
CRC-9 organoid (IFN-γ),Necroptosis executioners,2,-0.143,-0.648,0.654,False,2,0.585,-0.22,1.0,False,-0.30…+0.01,
CRC-9 organoid (IFN-γ),Pyroptosis initiators,7,-0.175,-0.394,0.396,False,2,0.585,-0.44,1.0,False,-0.34…+0.08,
CRC-9 organoid (IFN-γ),Pyroptosis executioners,3,-0.037,-0.588,0.592,False,2,0.585,-0.06,1.0,False,-0.22…+0.18,
CRC-9 organoid (IFN-γ),MHC-I presentation,12,-0.129,-0.294,0.311,False,2,0.585,-0.43,2.0,True,-0.23…-0.08,
CRC-9 organoid (IFN-γ),NK activating ligands,8,-0.051,-0.371,0.378,False,2,0.585,-0.14,1.0,False,-0.09…+0.13,
CRC-9 organoid (IFN-γ),Inhibitory signals,6,-0.027,-0.429,0.43,False,2,0.585,-0.06,1.0,False,-0.19…+0.09,
CRC-9 organoid (T cells),ENTRY receptors,4,0.855,-0.757,0.815,True,4,0.339,1.09,4.0,True,+0.27…+1.49,
CRC-9 organoid (T cells),ENTRY adaptors,5,0.472,-0.771,0.857,False,4,0.339,0.58,4.0,True,+0.27…+1.18,
CRC-9 organoid (T cells),BRAKES,8,-0.029,-0.577,0.632,False,4,0.339,-0.05,2.0,False,-0.28…+0.29,
CRC-9 organoid (T cells),Apoptosis initiators,6,-0.135,-0.659,0.705,False,4,0.339,-0.2,2.0,False,-0.40…+0.43,
CRC-9 organoid (T cells),Apoptosis executioners,3,-0.636,-0.975,1.077,False,4,0.339,-0.62,2.0,False,-1.53…+0.27,
CRC-9 organoid (T cells),Necroptosis initiators,3,-0.221,-0.974,1.019,False,4,0.339,-0.22,3.0,False,-1.01…+0.51,
CRC-9 organoid (T cells),Necroptosis executioners,2,-0.005,-1.04,1.123,False,4,0.339,-0.0,2.0,False,-0.84…+0.71,
CRC-9 organoid (T cells),Pyroptosis initiators,7,0.854,-0.676,0.699,True,4,0.339,1.24,3.0,False,-0.27…+1.35,
CRC-9 organoid (T cells),Pyroptosis executioners,3,-0.341,-0.95,1.059,False,4,0.339,-0.34,3.0,False,-0.31…+1.03,
CRC-9 organoid (T cells),MHC-I presentation,12,0.846,-0.496,0.512,True,4,0.339,1.68,4.0,True,+0.46…+1.23,
CRC-9 organoid (T cells),NK activating ligands,8,-0.013,-0.617,0.648,False,4,0.339,-0.02,2.0,False,-0.53…+0.17,
CRC-9 organoid (T cells),Inhibitory signals,6,-0.384,-0.654,0.699,False,4,0.339,-0.57,2.0,False,-0.77…+0.21,
HT-29 JAK1-KO (IFN-γ),ENTRY receptors,4,-0.046,-0.117,0.117,False,4,-0.002,-0.39,3.0,False,-0.23…+0.26,
HT-29 JAK1-KO (IFN-γ),ENTRY adaptors,5,-0.084,-0.123,0.111,False,4,-0.002,-0.72,3.0,False,-0.21…+0.05,
HT-29 JAK1-KO (IFN-γ),BRAKES,8,-0.165,-0.086,0.087,True,4,-0.002,-1.91,4.0,True,-0.33…-0.01,
HT-29 JAK1-KO (IFN-γ),Apoptosis initiators,6,0.036,-0.098,0.096,False,4,-0.002,0.37,2.0,False,-0.06…+0.11,
HT-29 JAK1-KO (IFN-γ),Apoptosis executioners,3,-0.143,-0.139,0.136,True,4,-0.002,-1.04,2.0,False,-0.27…+0.16,
HT-29 JAK1-KO (IFN-γ),Necroptosis initiators,3,0.013,-0.154,0.138,False,4,-0.002,0.09,3.0,False,-0.25…+0.10,
HT-29 JAK1-KO (IFN-γ),Necroptosis executioners,2,0.039,-0.168,0.151,False,4,-0.002,0.24,2.0,False,-0.04…+0.22,
HT-29 JAK1-KO (IFN-γ),Pyroptosis initiators,7,0.035,-0.098,0.093,False,4,-0.002,0.37,2.0,False,-0.08…+0.12,
HT-29 JAK1-KO (IFN-γ),Pyroptosis executioners,3,0.125,-0.144,0.144,False,4,-0.002,0.87,4.0,True,+0.03…+0.33,
HT-29 JAK1-KO (IFN-γ),MHC-I presentation,12,-0.021,-0.072,0.07,False,4,-0.002,-0.3,3.0,False,-0.04…+0.09,
HT-29 JAK1-KO (IFN-γ),NK activating ligands,8,0.082,-0.083,0.088,False,4,-0.002,0.96,4.0,True,+0.02…+0.22,
HT-29 JAK1-KO (IFN-γ),Inhibitory signals,6,0.008,-0.101,0.098,False,4,-0.002,0.08,2.0,False,-0.04…+0.09,
HeLa (TNF-α + IFN-γ),ENTRY receptors,4,-0.904,-1.175,1.212,False,1,,-0.76,1.0,True,-0.93…-0.76 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),ENTRY adaptors,5,0.499,-1.175,1.207,False,1,,0.42,1.0,True,+0.79…+0.86 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),BRAKES,8,-0.872,-0.888,0.878,False,1,,-0.99,1.0,True,-0.43…-1.99 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Apoptosis initiators,6,0.043,-1.026,1.021,False,1,,0.04,0.0,False,-0.75…+0.92 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Apoptosis executioners,3,1.017,-1.505,1.444,False,1,,0.69,1.0,True,+1.44…+0.42 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Necroptosis initiators,3,0.58,-1.456,1.487,False,1,,0.39,0.0,False,-0.48…+0.26 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Necroptosis executioners,2,-1.418,-1.636,1.522,False,1,,-0.9,1.0,True,-1.43…-3.08 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Pyroptosis initiators,7,-0.42,-0.959,0.993,False,1,,-0.43,1.0,True,-1.11…-1.16 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Pyroptosis executioners,2,0.512,-1.591,1.459,False,1,,0.34,1.0,True,+0.80…+1.84 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),MHC-I presentation,12,0.299,-0.725,0.768,False,1,,0.4,1.0,True,+0.18…+0.48 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),NK activating ligands,7,0.176,-0.987,0.982,False,1,,0.18,0.0,False,+1.27…-3.11 (половины библиотеки),-0.001
HeLa (TNF-α + IFN-γ),Inhibitory signals,6,0.016,-1.06,1.046,False,1,,0.02,0.0,False,-0.13…+1.07 (половины библиотеки),-0.001
