группа,здоровая_ген_маршрут,здоровая_образц_маршрут,здоровая_разница,пациент_ген_маршрут,пациент_образц_маршрут,пациент_разница,органоид_ген_маршрут,органоид_образц_маршрут,органоид_разница,2D_ген_маршрут,2D_образц_маршрут,2D_разница
Apoptosis executioners,0.1,1.9,-1.8,2.7,2.1,0.6,5.7,5.3,0.4,-0.1,0.0,-0.1
Apoptosis initiators,-5.4,-5.1,-0.3,-2.7,-2.9,0.2,2.1,2.2,-0.1,-0.0,0.0,-0.0
BRAKES,19.1,18.6,0.5,11.8,9.1,2.7,1.6,1.4,0.2,0.0,-0.1,0.1
ENTRY adaptors,-0.9,-0.9,0.0,3.7,4.5,-0.8,1.5,0.5,1.0,-0.0,0.2,-0.2
ENTRY receptors,3.4,5.4,-2.0,-4.4,-3.8,-0.6,0.8,0.5,0.3,0.0,-0.2,0.2
Inhibitory signals,8.4,8.0,0.4,7.3,6.9,0.4,1.4,1.9,-0.5,0.0,0.2,-0.2
MHC-I presentation,6.1,5.9,0.2,7.7,7.6,0.1,2.2,2.0,0.2,0.0,0.3,-0.3
NK activating ligands,-18.3,-16.9,-1.4,-12.5,-10.8,-1.7,-1.1,-1.6,0.5,-0.0,0.0,-0.0
Necroptosis executioners,-15.6,-15.7,0.1,-11.6,-10.7,-0.9,-5.5,-5.3,-0.2,-0.1,0.0,-0.1
Necroptosis initiators,6.6,6.5,0.1,10.7,7.9,2.8,3.0,2.9,0.1,0.0,0.1,-0.1
Pyroptosis executioners,-1.0,-1.1,0.1,3.4,3.8,-0.4,-0.9,1.3,-2.2,-0.0,0.2,-0.2
Pyroptosis initiators,0.0,2.2,-2.2,7.3,5.6,1.7,0.6,1.0,-0.4,0.0,0.0,0.0
