группа,генов,здоровая,пациент,органоид,2D,пациент−здоровая,органоид−2D,маршрут
Apoptosis executioners,3,0.1,2.7,5.7,-0.1,2.5,5.8,gene route (methods 3a)
Apoptosis initiators,6,-5.4,-2.7,2.1,-0.0,1.1,2.1,gene route (methods 3a)
BRAKES,8,19.1,11.8,1.6,0.0,-6.1,1.6,gene route (methods 3a)
ENTRY adaptors,5,-0.9,3.7,1.5,-0.0,8.0,1.6,gene route (methods 3a)
ENTRY receptors,4,3.4,-4.4,0.8,0.0,-4.8,0.9,gene route (methods 3a)
Inhibitory signals,6,8.4,7.3,1.4,0.0,-0.6,1.4,gene route (methods 3a)
MHC-I presentation,12,6.1,7.7,2.2,0.0,-1.6,1.8,gene route (methods 3a)
NK activating ligands,8,-18.3,-12.5,-1.1,-0.0,8.2,-1.1,gene route (methods 3a)
Necroptosis executioners,2,-15.6,-11.6,-5.5,-0.1,8.7,-5.4,gene route (methods 3a)
Necroptosis initiators,3,6.6,10.7,3.0,0.0,5.3,3.0,gene route (methods 3a)
Pyroptosis executioners,3,-1.0,3.4,-0.9,-0.0,2.7,-1.0,gene route (methods 3a)
Pyroptosis initiators,7,0.0,7.3,0.6,0.0,5.5,0.4,gene route (methods 3a)
