group,gene_count,healthy,healthy_lo,healthy_hi,healthy_outside_band,malignant,malignant_lo,malignant_hi,malignant_outside_band,dome,dome_lo,dome_hi,dome_outside_band,2D,2D_lo,2D_hi,2D_outside_band,malignant_minus_healthy,malignant_minus_healthy_lo,malignant_minus_healthy_hi,malignant_minus_healthy_CI_excludes_zero,malignant_minus_healthy_band_lo,malignant_minus_healthy_band_hi,malignant_minus_healthy_outside_band,malignant_minus_healthy_organ_count,dome_minus_2D,dome_minus_2D_lo,dome_minus_2D_hi,dome_minus_2D_CI_excludes_zero,dome_minus_2D_band_lo,dome_minus_2D_band_hi,dome_minus_2D_outside_band,dome_minus_2D_organ_count
Apoptosis executioners,3,1.9,-1.8,4.8,False,2.1,0.3,5.0,False,5.3,4.4,7.4,False,0.0,-0.9,0.9,False,0.9,-3.2,4.2,False,-15.1,11.2,False,4/6,4.9,3.9,7.8,True,-5.4,5.9,False,6/6
Apoptosis initiators,6,-5.1,-8.2,-2.9,False,-2.9,-3.9,-1.3,False,2.2,1.8,2.5,False,0.0,-0.2,0.3,False,3.3,-0.4,5.4,False,-9.3,7.1,False,4/6,2.0,1.6,2.5,True,-2.9,3.3,False,6/6
BRAKES,8,18.6,15.8,20.8,True,9.1,8.2,12.2,True,1.4,0.5,2.1,False,-0.1,-0.6,0.4,False,-9.0,-11.3,-5.5,True,-8.3,5.8,True,6/6,1.6,0.4,2.4,True,-2.0,2.7,False,6/6
ENTRY adaptors,5,-0.9,-5.4,0.2,False,4.5,1.9,5.6,False,0.5,-0.1,1.7,False,0.2,-0.5,0.8,False,8.6,4.3,12.5,True,-11.0,8.2,True,5/6,0.5,-0.6,2.3,False,-3.2,3.7,False,4/6
ENTRY receptors,4,5.4,1.1,9.3,False,-3.8,-5.6,-1.9,False,0.5,-2.3,3.9,False,-0.2,-1.0,0.9,False,-8.2,-13.0,-4.0,True,-12.4,8.6,False,5/6,0.5,-2.4,4.1,False,-4.3,5.1,False,3/6
Inhibitory signals,6,8.0,5.6,9.9,False,6.9,5.7,8.3,False,1.9,1.0,3.2,False,0.2,-0.7,1.1,False,0.4,-1.8,3.8,False,-9.3,7.1,False,3/6,1.9,0.6,3.6,True,-2.9,3.3,False,5/6
MHC-I presentation,12,5.9,3.9,7.1,False,7.6,6.4,8.9,True,2.0,-0.0,3.9,True,0.3,-0.4,0.7,True,2.6,1.7,5.1,True,-6.3,4.2,False,4/6,1.7,-0.5,4.2,False,-1.2,1.6,True,5/6
NK activating ligands,8,-16.9,-19.3,-13.8,True,-10.8,-12.2,-10.0,True,-1.6,-3.2,-0.3,False,0.0,-0.9,1.1,False,5.2,1.0,8.3,True,-8.3,5.8,False,5/6,-1.5,-3.8,0.0,False,-2.0,2.7,False,6/6
Necroptosis executioners,2,-15.7,-20.4,-12.1,True,-10.7,-12.9,-8.6,True,-5.3,-6.3,-2.2,False,0.0,-1.7,1.0,False,8.6,2.1,10.6,True,-18.1,11.9,False,6/6,-5.0,-7.0,-1.5,True,-7.5,8.6,False,5/6
Necroptosis initiators,3,6.5,2.7,8.6,False,7.9,5.4,11.7,False,2.9,0.5,5.9,False,0.1,-0.8,1.0,False,4.5,-0.7,9.5,False,-15.1,11.2,False,4/6,3.5,0.6,6.9,True,-5.4,5.9,False,4/6
Pyroptosis executioners,3,-1.1,-5.7,3.5,False,3.8,0.8,5.4,False,1.3,-0.1,2.5,False,0.2,-0.8,1.2,False,1.3,-1.2,6.5,False,-15.1,11.2,False,5/6,1.4,-0.8,2.8,False,-5.4,5.9,False,4/6
Pyroptosis initiators,7,2.2,-0.3,5.0,False,5.6,1.5,7.5,False,1.0,0.0,3.9,False,0.0,0.0,0.3,False,4.9,-1.3,7.7,False,-10.2,6.5,False,4/6,0.9,-0.1,3.9,False,-2.3,2.8,False,4/6
