ген,орган,здоровая,пациент,органоид,2D,группа
BID,желудок,-5.8403167724609375,2.3801803588867188,-4.389640808105469,0.24849319458007812,ENTRY adaptors
CASP10,желудок,27.041690826416016,30.90747833251953,10.133249282836914,0.2793903350830078,ENTRY adaptors
CASP8,желудок,0.0,12.462387084960938,2.609874725341797,-0.17193222045898438,ENTRY adaptors
FADD,желудок,-19.1220703125,-11.715560913085938,-1.0168190002441406,-0.2189483642578125,ENTRY adaptors
TRADD,желудок,7.702018737792969,16.37115478515625,12.834463119506836,-0.11282730102539062,ENTRY adaptors
FAS,желудок,-6.0203094482421875,-16.399364471435547,10.963357925415039,0.12827682495117188,ENTRY receptors
TNFRSF10A,желудок,0.7830886840820312,4.057867050170898,2.901355743408203,-0.16454505920410156,ENTRY receptors
TNFRSF10B,желудок,18.805068969726562,-4.991405487060547,4.4608306884765625,-0.11014556884765625,ENTRY receptors
TNFRSF1A,желудок,0.0,1.4224700927734375,1.2505378723144531,0.38147735595703125,ENTRY receptors
BCL2,желудок,17.2818603515625,-9.89281177520752,-3.9719009399414062,0.026865005493164062,BRAKES
BCL2L1,желудок,1.7623062133789062,-2.999408721923828,3.982646942138672,0.20819854736328125,BRAKES
BIRC2,желудок,5.918220520019531,6.916236877441406,-0.5117645263671875,0.056415557861328125,BRAKES
BIRC3,желудок,29.671714782714844,36.62959671020508,14.817054748535156,-0.016119003295898438,BRAKES
CFLAR,желудок,22.64398956298828,21.41360855102539,3.358043670654297,0.5050506591796875,BRAKES
MCL1,желудок,11.56781005859375,7.501880645751953,0.6064643859863281,0.14372634887695312,BRAKES
TNFAIP3,желудок,29.270095825195312,38.70083999633789,3.870485305786133,0.018808364868164062,BRAKES
XIAP,желудок,20.36992645263672,27.624650955200195,4.237857818603516,-0.3304309844970703,BRAKES
CASP3,желудок,7.90216064453125,3.3177528381347656,3.4346160888671875,-0.2538719177246094,Apoptosis executioners
CASP6,желудок,-2.5171966552734375,1.3083000183105469,7.8538055419921875,0.2686424255371094,Apoptosis executioners
CASP7,желудок,5.198249816894531,10.227272033691406,5.3836212158203125,-0.2793846130371094,Apoptosis executioners
APAF1,желудок,10.536216735839844,20.474695205688477,3.8738441467285156,-0.0496978759765625,Apoptosis initiators
BAK1,желудок,-19.343711853027344,2.0618438720703125,8.841068267822266,0.057758331298828125,Apoptosis initiators
BAX,желудок,-5.5569000244140625,-5.239898681640625,0.5843048095703125,-0.033580780029296875,Apoptosis initiators
CASP9,желудок,-6.1962738037109375,-6.463573455810547,9.360895156860352,0.05372810363769531,Apoptosis initiators
CYCS,желудок,4.698585510253906,2.1437759399414062,0.28879547119140625,-0.0402984619140625,Apoptosis initiators
DIABLO,желудок,-49.06243133544922,-61.468406677246094,2.0161705017089844,-0.10208511352539062,Apoptosis initiators
MLKL,желудок,-1.5984306335449219,0.3344612121582031,-0.39087677001953125,0.4110240936279297,Necroptosis executioners
PGAM5,желудок,-28.254615783691406,-12.573875427246094,-2.695842742919922,-0.2807273864746094,Necroptosis executioners
RIPK1,желудок,27.350631713867188,8.920318603515625,6.396411895751953,0.12760543823242188,Necroptosis initiators
RIPK3,желудок,16.121322631835938,22.72727394104004,18.835966110229492,0.6528034210205078,Necroptosis initiators
ZBP1,желудок,5.789276123046875,28.259994506835938,15.506125450134277,0.0,Necroptosis initiators
GSDMB,желудок,22.90457534790039,37.75655746459961,31.501182556152344,0.0416412353515625,Pyroptosis executioners
GSDMD,желудок,3.86444091796875,12.095695495605469,2.8019561767578125,-0.10342788696289062,Pyroptosis executioners
