block	group	gene	source_set	panel_chain	shared_node	organs_with_value	organs_healthy	organs_patient	organs_organoid	organs_2D	in_depmap	in_screen_corpus	scientific_label	figure_label
Entry	ENTRY adaptors	BID	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Death-receptor mediators	Death-receptor mediators
Entry	ENTRY adaptors	CASP10	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-receptor mediators	Death-receptor mediators
Entry	ENTRY adaptors	CASP8	PANoptosis panel 2026-09-18	death_receptor_extrinsic;panoptosome_and_brakes	True	6	6	6	6	6	True	True	Death-receptor mediators	Death-receptor mediators
Entry	ENTRY adaptors	FADD	PANoptosis panel 2026-09-18	death_receptor_extrinsic;panoptosome_and_brakes	True	6	6	6	6	6	True	True	Death-receptor mediators	Death-receptor mediators
Entry	ENTRY adaptors	TRADD	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-receptor mediators	Death-receptor mediators
Entry	ENTRY receptors	FAS	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death receptors	Death receptors
Entry	ENTRY receptors	TNFRSF10A	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death receptors	Death receptors
Entry	ENTRY receptors	TNFRSF10B	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death receptors	Death receptors
Entry	ENTRY receptors	TNFRSF1A	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death receptors	Death receptors
Brakes	BRAKES	BCL2	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	BCL2L1	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	BIRC2	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	BIRC3	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	CFLAR	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	MCL1	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	TNFAIP3	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Brakes	BRAKES	XIAP	PANoptosis panel 2026-09-18	death_receptor_extrinsic	False	6	6	6	6	6	True	True	Death-inhibitory module	Death-inhibitory module
Execution	Apoptosis executioners	CASP3	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Executioner caspases	Executioner caspases
Execution	Apoptosis executioners	CASP6	PANoptosis panel 2026-09-18	apoptosis_execution;panoptosome_and_brakes	True	6	6	6	6	6	True	True	Executioner caspases	Executioner caspases
Execution	Apoptosis executioners	CASP7	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Executioner caspases	Executioner caspases
Execution	Apoptosis initiators	APAF1	PANoptosis panel 2026-09-18	apoptosis_execution	False	6	6	6	6	6	True	True	Mitochondrial apoptosis	Mitochondrial apoptosis
