слой,орган,образец,идентификатор,группа,значение
здоровая,желудок,17,TSP20||Epithelium,Apoptosis executioners,0.0
здоровая,желудок,18,TSP25||Epithelium,Apoptosis executioners,7.90216064453125
здоровая,желудок,19,TSP27||Epithelium,Apoptosis executioners,5.198249816894531
здоровая,желудок,17,TSP20||Epithelium,Apoptosis initiators,-11.056039810180664
здоровая,желудок,18,TSP25||Epithelium,Apoptosis initiators,-5.078712463378906
здоровая,желудок,19,TSP27||Epithelium,Apoptosis initiators,-3.2385025024414062
здоровая,желудок,17,TSP20||Epithelium,BRAKES,12.610143661499023
здоровая,желудок,18,TSP25||Epithelium,BRAKES,19.58212661743164
здоровая,желудок,19,TSP27||Epithelium,BRAKES,22.288036346435547
здоровая,желудок,17,TSP20||Epithelium,ENTRY adaptors,0.0
здоровая,желудок,18,TSP25||Epithelium,ENTRY adaptors,6.0176239013671875
здоровая,желудок,19,TSP27||Epithelium,ENTRY adaptors,-3.5138626098632812
здоровая,желудок,17,TSP20||Epithelium,ENTRY receptors,3.8510093688964844
здоровая,желудок,18,TSP25||Epithelium,ENTRY receptors,1.4929885864257812
здоровая,желудок,19,TSP27||Epithelium,ENTRY receptors,-2.618610382080078
здоровая,желудок,17,TSP20||Epithelium,Inhibitory signals,8.27154541015625
здоровая,желудок,18,TSP25||Epithelium,Inhibitory signals,5.758378982543945
здоровая,желудок,19,TSP27||Epithelium,Inhibitory signals,5.95583438873291
здоровая,желудок,17,TSP20||Epithelium,MHC-I presentation,9.798786163330078
здоровая,желудок,18,TSP25||Epithelium,MHC-I presentation,3.6911659240722656
здоровая,желудок,19,TSP27||Epithelium,MHC-I presentation,3.910785675048828
здоровая,желудок,17,TSP20||Epithelium,NK activating ligands,0.0
здоровая,желудок,18,TSP25||Epithelium,NK activating ligands,-16.20997428894043
здоровая,желудок,19,TSP27||Epithelium,NK activating ligands,-23.45395278930664
здоровая,желудок,17,TSP20||Epithelium,Necroptosis executioners,-26.654848098754883
здоровая,желудок,18,TSP25||Epithelium,Necroptosis executioners,-6.95384407043457
здоровая,желудок,19,TSP27||Epithelium,Necroptosis executioners,-14.926523208618164
здоровая,желудок,17,TSP20||Epithelium,Necroptosis initiators,27.350631713867188
здоровая,желудок,18,TSP25||Epithelium,Necroptosis initiators,12.940574645996094
здоровая,желудок,19,TSP27||Epithelium,Necroptosis initiators,17.236190795898438
здоровая,желудок,17,TSP20||Epithelium,Pyroptosis executioners,0.0
здоровая,желудок,18,TSP25||Epithelium,Pyroptosis executioners,3.86444091796875
здоровая,желудок,19,TSP27||Epithelium,Pyroptosis executioners,11.506019592285156
здоровая,желудок,17,TSP20||Epithelium,Pyroptosis initiators,0.0
здоровая,желудок,18,TSP25||Epithelium,Pyroptosis initiators,1.4023208618164062
здоровая,желудок,19,TSP27||Epithelium,Pyroptosis initiators,3.5756492614746094
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Apoptosis executioners,14.385879516601562
пациент,желудок,1,gc_GSE163558|gc_GSE163558_P1,Apoptosis executioners,-3.2613296508789062
пациент,желудок,0,gc_GSE163558|gc_GSE163558_PT1,Apoptosis initiators,-2.9335899353027344
