группа,генов,значение,полоса_lo,полоса_hi,вне_полосы,в_единицах_полосы,половина_A,половина_B,знак_половин_совпал
ENTRY receptors,4,-0.904,-1.175,1.212,False,-0.76,-0.927,-0.755,True
ENTRY adaptors,5,0.499,-1.175,1.207,False,0.42,0.793,0.863,True
BRAKES,8,-0.872,-0.888,0.878,False,-0.99,-0.428,-1.991,True
Apoptosis initiators,6,0.043,-1.026,1.021,False,0.04,-0.747,0.915,False
Apoptosis executioners,3,1.017,-1.505,1.444,False,0.69,1.437,0.425,True
Necroptosis initiators,3,0.58,-1.456,1.487,False,0.39,-0.476,0.259,False
Necroptosis executioners,2,-1.418,-1.636,1.522,False,-0.9,-1.431,-3.078,True
Pyroptosis initiators,7,-0.42,-0.959,0.993,False,-0.43,-1.107,-1.155,True
Pyroptosis executioners,2,0.512,-1.591,1.459,False,0.34,0.802,1.84,True
MHC-I presentation,12,0.299,-0.725,0.768,False,0.4,0.177,0.476,True
NK activating ligands,7,0.176,-0.987,0.982,False,0.18,1.274,-3.112,False
Inhibitory signals,6,0.016,-1.06,1.046,False,0.02,-0.126,1.068,False
