группа,генов,WT,WT_полоса_lo,WT_полоса_hi,WT_вне_полосы,KO,KO_полоса_lo,KO_полоса_hi,KO_вне_полосы
ENTRY receptors,4,-0.069,-0.371,0.531,False,-0.046,-0.117,0.116,False
ENTRY adaptors,5,0.137,-0.402,0.44,False,-0.084,-0.113,0.117,False
BRAKES,8,-0.506,-0.294,0.314,True,-0.165,-0.089,0.087,True
Apoptosis initiators,6,0.283,-0.334,0.389,False,0.036,-0.102,0.101,False
Apoptosis executioners,3,-0.203,-0.47,0.572,False,-0.143,-0.147,0.141,False
Necroptosis initiators,3,-0.175,-0.508,0.638,False,0.013,-0.136,0.143,False
Necroptosis executioners,2,-0.228,-0.575,0.882,False,0.039,-0.167,0.15,False
Pyroptosis initiators,7,0.039,-0.355,0.344,False,0.035,-0.1,0.097,False
Pyroptosis executioners,3,0.188,-0.472,0.567,False,0.125,-0.145,0.135,False
MHC-I presentation,12,0.062,-0.242,0.253,False,-0.021,-0.073,0.069,False
NK activating ligands,8,-0.043,-0.302,0.317,False,0.082,-0.089,0.085,False
Inhibitory signals,6,0.012,-0.359,0.352,False,0.009,-0.1,0.099,False
