ген,RNAi_Z,RNAi_выживание,надёжный_хит_статьи,в_нашем_скрине,CRISPR_log2FC_WT,персентиль_WT,CRISPR_log2FC_JAK1_KO_C1,персентиль_JAK1_KO_C1,CRISPR_log2FC_JAK1_KO_C3,персентиль_JAK1_KO_C3,символ_в_скрине
JAK2,12.29,0.828,True,True,1.839,98.9,-0.045,40.1,-0.001,51.0,JAK2
JAK1,10.83,0.69,True,True,3.272,100.0,-0.039,41.6,0.18,89.0,JAK1
GALK1,5.26,0.436,False,True,0.129,76.8,0.229,93.0,-0.022,45.4,GALK1
CRK7,4.29,0.391,False,True,0.679,94.3,-0.229,7.9,0.101,76.1,CDK12
FRAP1,4.17,0.406,False,True,2.548,99.7,-0.157,16.8,-0.061,35.2,MTOR
EGFR,4.13,0.384,False,True,0.372,88.3,-0.16,16.3,-0.113,23.9,EGFR
CSNK1A1,4.07,0.381,False,True,2.117,99.3,0.433,99.4,-0.165,15.1,CSNK1A1
CSNK2B,3.96,0.376,False,True,0.193,81.1,0.21,91.5,-0.467,0.6,CSNK2B
KIT,3.89,0.373,False,True,-0.422,23.6,0.092,73.7,0.043,62.6,KIT
IKBKB,3.65,0.362,False,True,0.05,70.5,-0.167,15.1,0.128,81.8,IKBKB
MET,3.44,0.352,False,True,0.062,71.6,-0.144,18.9,-0.102,26.1,MET
TRIB3,3.36,0.349,False,True,-0.28,36.7,-0.039,41.7,0.094,74.7,TRIB3
PRKCZ,3.16,0.353,False,True,-0.628,10.6,0.036,60.5,0.178,88.8,PRKCZ
NEK7,3.12,0.338,False,True,0.016,67.6,0.236,93.6,-0.161,15.6,NEK7
SMG1,3.0,0.332,False,True,-0.933,2.7,-0.29,4.0,-0.215,9.1,SMG1
DYRK1A,2.96,0.331,False,True,1.47,98.3,-0.006,49.5,0.055,65.5,DYRK1A
STK32B,2.94,0.33,False,True,-0.195,45.3,-0.056,37.5,-0.001,51.1,STK32B
LATS1,2.93,0.342,False,True,0.323,86.8,0.229,93.0,-0.019,46.2,LATS1
PRKX,2.87,0.339,False,True,-0.274,37.3,0.021,56.9,0.129,81.9,PRKX
SBK1,2.76,0.333,False,True,-0.393,25.9,-0.329,2.5,-0.093,27.9,SBK1
MAP3K14,2.69,0.329,False,True,-0.494,17.9,-0.317,2.9,-0.145,18.1,MAP3K14
PRKAA2,2.63,0.316,False,True,-0.438,22.2,-0.338,2.2,0.137,83.4,PRKAA2
CAMK2A,2.61,0.315,False,True,-0.011,65.1,-0.136,20.5,-0.409,1.1,CAMK2A
PDK1,2.54,0.311,False,True,-0.054,61.0,0.01,53.6,0.026,58.5,PDK1
MAPK11,2.4,0.305,False,True,-0.407,24.7,-0.094,28.7,0.129,81.9,MAPK11
TNNI3K,2.35,0.312,False,True,-0.657,9.5,0.152,84.5,0.08,71.8,TNNI3K
ERBB4,2.34,0.302,False,True,-0.205,44.3,-0.342,2.0,-0.166,14.9,ERBB4
CSNK2A1,2.34,0.302,False,True,-0.219,42.8,-0.043,40.8,0.058,66.2,CSNK2A1
LRRK1,2.33,0.302,False,True,-0.288,35.9,0.103,75.9,0.454,99.7,LRRK1
LOC91461,2.26,0.307,False,True,-0.079,58.2,-0.144,18.9,0.271,96.5,PKDCC
HIPK3,2.2,0.304,False,True,-0.353,29.4,0.419,99.3,-0.093,27.8,HIPK3
ULK2,2.18,0.303,False,True,-0.141,51.2,-0.044,40.5,0.244,95.0,ULK2
PRKG2,2.07,0.297,False,True,0.181,80.4,0.174,87.4,-0.201,10.5,PRKG2
SYK,2.06,0.296,False,True,-0.052,61.1,-0.19,12.0,0.033,60.1,SYK
