размер_группы,слой,полоса_2.5%,полоса_97.5%
2,здоровая,-14.9,23.9
2,пациент,-9.9,15.4
2,органоид,-7.6,8.8
2,2D,-0.9,1.8
2,пациент-здоровая,-18.1,11.8
2,органоид-2D,-7.5,8.5
3,здоровая,-13.2,18.5
3,пациент,-7.0,12.5
3,органоид,-5.3,6.0
3,2D,-0.2,0.4
3,пациент-здоровая,-15.1,11.2
3,органоид-2D,-5.4,5.9
4,здоровая,-10.8,16.3
4,пациент,-6.2,9.9
4,органоид,-4.2,5.2
4,2D,-0.3,0.6
4,пациент-здоровая,-12.4,8.5
4,органоид-2D,-4.2,5.1
5,здоровая,-8.6,13.5
5,пациент,-4.9,7.9
5,органоид,-3.1,3.6
5,2D,-0.2,0.4
5,пациент-здоровая,-11.0,8.0
5,органоид-2D,-3.1,3.6
6,здоровая,-8.3,12.7
6,пациент,-4.1,7.3
6,органоид,-2.8,3.3
6,2D,-0.2,0.4
6,пациент-здоровая,-9.3,7.0
6,органоид-2D,-2.8,3.3
7,здоровая,-7.4,12.3
7,пациент,-3.5,6.3
7,органоид,-2.1,2.8
7,2D,-0.1,0.3
7,пациент-здоровая,-10.2,6.5
7,органоид-2D,-2.2,2.8
8,здоровая,-6.6,10.3
8,пациент,-3.1,6.0
8,органоид,-1.9,2.8
8,2D,-0.1,0.4
8,пациент-здоровая,-8.3,5.8
8,органоид-2D,-2.0,2.7
12,здоровая,-4.4,8.0
12,пациент,-1.7,4.1
12,органоид,-1.1,1.7
12,2D,-0.1,0.3
12,пациент-здоровая,-6.3,4.2
12,органоид-2D,-1.1,1.6
