layer,gene,score_pp
Healthy epithelium,ABCG8,0.294164657593
Healthy epithelium,ACER2,15.6407823563
Healthy epithelium,ADAMTS12,1.71697044373
Healthy epithelium,ADCYAP1R1,0
Healthy epithelium,ADGRG1,-8.39109039307
Healthy epithelium,ADPRHL1,-8.45522975922
Healthy epithelium,AGAP4,-14.3150253296
Healthy epithelium,AHRR,-28.5675926208
Healthy epithelium,AKAP9,32.8420543671
Healthy epithelium,ALDH16A1,-7.00623512268
Healthy epithelium,AMHR2,2.06318497658
Healthy epithelium,AMY1C,0
Healthy epithelium,ANLN,-36.3669919968
Healthy epithelium,ARL4A,7.4296836853
Healthy epithelium,ASS1,-6.05455970764
Healthy epithelium,ATP5PD,-1.24785232544
Healthy epithelium,ATRNL1,16.2717599869
Healthy epithelium,B3GNT7,18.1479024887
Healthy epithelium,BBS10,-18.0239906311
Healthy epithelium,BICC1,24.8969078064
Healthy epithelium,BLOC1S3,-25.5544147491
Healthy epithelium,BTBD16,4.65156888962
Healthy epithelium,BTC,-1.0728969574
Healthy epithelium,C12orf56,-4.5199341774
Healthy epithelium,CACNG2,13.5060713291
Healthy epithelium,CCNB3,-2.02255296707
Healthy epithelium,CCNG1,1.07592391968
Healthy epithelium,CCNQ,-11.7800331116
Healthy epithelium,CCR6,0
Healthy epithelium,CD40,1.85263442993
Healthy epithelium,CD8B,3.52259373665
Healthy epithelium,CDCP2,-3.59613406658
Healthy epithelium,CDNF,0.624597549438
Healthy epithelium,CENPH,-28.2136516571
Healthy epithelium,CEP44,-0.979878425598
Healthy epithelium,CEP68,11.3884840012
Healthy epithelium,CFAP69,22.9284181595
Healthy epithelium,CIRBP,4.91484069824
Healthy epithelium,CNGA2,0
Healthy epithelium,CNTRL,14.0094432831
Healthy epithelium,COL15A1,11.0123839378
Healthy epithelium,CSNK1A1,8.10062217712
Healthy epithelium,CSRP2,2.89127922058
Healthy epithelium,CTRB1,-7.79470205307
Healthy epithelium,CXorf66,0
Healthy epithelium,CYP11B1,0
Healthy epithelium,CYP3A5,28.5863952637
Healthy epithelium,DEFB126,0
Healthy epithelium,DENND10,-5.03975868225
Healthy epithelium,DPH2,-29.2432308197
Healthy epithelium,DUSP3,1.2626247406
Healthy epithelium,EDA2R,8.15938615799
Healthy epithelium,EDNRB,6.92698383331
Healthy epithelium,EEF1B2,1.387550354
Healthy epithelium,ENPP1,14.224357605
Healthy epithelium,FAHD1,-6.65867710114
Healthy epithelium,FAM161B,-6.78292179108
Healthy epithelium,FBXO2,9.62181663513
Healthy epithelium,FCRL5,-1.7434990406
Healthy epithelium,FGF16,0
Healthy epithelium,FOXJ3,22.8320465088
Healthy epithelium,FOXO1,40.3657588959
Healthy epithelium,FSHR,10.5288250446
Healthy epithelium,FTMT,0
Healthy epithelium,FXR2,-13.3495883942
Healthy epithelium,FYB1,13.3646974564
Healthy epithelium,GANAB,-15.0272693634
Healthy epithelium,GAS1,3.60923099518
Healthy epithelium,GBF1,19.9669551849
Healthy epithelium,GPNMB,-2.48965835571
Healthy epithelium,GPR137,-11.1232013702
Healthy epithelium,GPR45,-17.2133569717
Healthy epithelium,GRIA1,6.13314056396
Healthy epithelium,GRIN2D,-12.5486922264
Healthy epithelium,GUCD1,-3.6921710968
Healthy epithelium,HES4,26.7398052216
Healthy epithelium,HMOX2,2.42619132996
Healthy epithelium,HNRNPU,3.61326026917
Healthy epithelium,IQSEC3,0.159172058105
Healthy epithelium,IYD,6.76311016083
Healthy epithelium,IZUMO3,17.8581027985
Healthy epithelium,KHDC4,6.21272277832
Healthy epithelium,KLLN,-7.29368019104
Healthy epithelium,KNOP1,5.94408416748
Healthy epithelium,KRTAP5-5,0
Healthy epithelium,LAP3,2.92754745483
Healthy epithelium,LARGE2,-9.95124053955
Healthy epithelium,LRFN3,-9.0361738205
Healthy epithelium,LRRC28,11.9580106735
Healthy epithelium,LUZP1,17.2596969604
Healthy epithelium,LY86,12.0419623852
Healthy epithelium,LYVE1,15.7378311157
Healthy epithelium,MAPKBP1,10.5600528717
Healthy epithelium,MBNL1,23.1883296967
Healthy epithelium,MBTPS2,-7.26648044586
Healthy epithelium,MCF2L,14.374124527
Healthy epithelium,MICALL2,-4.29225444794
Healthy epithelium,MIS18BP1,4.23483467102
Healthy epithelium,MKRN2OS,4.9014081955
Healthy epithelium,MMP14,-8.50257873535
Healthy epithelium,MPST,20.9119110107
Healthy epithelium,MRPL50,-0.125587463379
Healthy epithelium,MRPS26,3.8006439209
Healthy epithelium,NAGA,-19.0434951782
Healthy epithelium,NCF4,5.4974603653
Healthy epithelium,NEK4,1.25826072693
Healthy epithelium,NHSL1,37.8143138885
Healthy epithelium,NKIRAS1,-6.35476875305
Healthy epithelium,NLGN2,-17.1515693665
Healthy epithelium,NOLC1,-7.88637924194
Healthy epithelium,NR2C2AP,-20.3954429626
Healthy epithelium,NT5DC4,-11.6739199162
Healthy epithelium,OARD1,0.895925521851
Healthy epithelium,OR51G2,0
Healthy epithelium,OR52J3,0
Healthy epithelium,OR5D14,0
Healthy epithelium,OR5J2,0
Healthy epithelium,OTOS,0
Healthy epithelium,OVOL3,-4.32449531555
Healthy epithelium,PCDH8,-4.40441703796
Healthy epithelium,PELI2,54.1780834198
Healthy epithelium,PHF2,5.11497879028
Healthy epithelium,PIGZ,3.37215232849
Healthy epithelium,PODXL,-3.13205623627
Healthy epithelium,PPP1R3B,6.57103157043
Healthy epithelium,PRAC2,-7.75642061234
Healthy epithelium,PRKAB1,-13.1971340179
Healthy epithelium,PROM1,37.8744211197
Healthy epithelium,PRSS12,12.560447216
Healthy epithelium,PTPRB,7.39811754227
Healthy epithelium,PUM3,15.3859081268
Healthy epithelium,RAB5A,14.7626514435
Healthy epithelium,RANBP2,24.5778923035
Healthy epithelium,RARA,-1.99333667755
Healthy epithelium,RASSF6,39.7529172897
Healthy epithelium,REX1BD,11.3267021179
Healthy epithelium,RNASEH2B,0.945625305176
Healthy epithelium,RPGRIP1L,-8.165766716
Healthy epithelium,RPL7,1.37680435181
Healthy epithelium,S100G,4.84364938736
Healthy epithelium,SAGE1,-3.72609066963
Healthy epithelium,SCAMP1,7.48509216309
Healthy epithelium,SCAPER,38.9194469452
Healthy epithelium,SCTR,31.3789491653
Healthy epithelium,SDHA,-15.1609191895
Healthy epithelium,SLC16A14,-11.4425492287
Healthy epithelium,SLC1A2,7.15465927124
Healthy epithelium,SLC1A5,-11.3414707184
Healthy epithelium,SLC35C1,-10.9942502975
Healthy epithelium,SLC35D1,13.2548904419
Healthy epithelium,SLC7A9,-3.11962842941
Healthy epithelium,SMIM40,0
Healthy epithelium,SOBP,27.690805912
Healthy epithelium,SPATA9,-4.60086107254
Healthy epithelium,SPRY3,10.8720188141
Healthy epithelium,SRCAP,-22.0546569824
Healthy epithelium,SULT1E1,2.25358581543
Healthy epithelium,SYNDIG1,9.02509212494
Healthy epithelium,TAFA3,-9.07109737396
Healthy epithelium,TAS2R8,0
Healthy epithelium,TBCEL,-16.0064764023
Healthy epithelium,TCF24,-10.6879971027
Healthy epithelium,TCL1A,-15.0265965462
Healthy epithelium,TCP11X2,0
Healthy epithelium,TGFBR2,19.5445194244
Healthy epithelium,TGM7,3.18074369431
Healthy epithelium,TIGD5,0.286106109619
Healthy epithelium,TMEM192,5.85979270935
Healthy epithelium,TMEM241,12.0312156677
Healthy epithelium,TMEM266,7.615046978
Healthy epithelium,TNFAIP2,-9.33000183105
