состав,генов,слой,значение_пп,полоса_2.5%,полоса_97.5%,вне_полосы,в_единицах_полосы
MLKL + PGAM5 (в фигуре),2,здоровая,-15.7,-15.0,24.0,True,-0.8
MLKL + PGAM5 (в фигуре),2,пациент,-10.7,-10.0,15.5,True,-0.84
MLKL + PGAM5 (в фигуре),2,органоид,-5.3,-7.7,8.8,False,-0.65
MLKL + PGAM5 (в фигуре),2,2D,0.0,-0.9,1.8,False,0.01
только MLKL,1,здоровая,-10.8,-25.7,38.0,False,-0.34
только MLKL,1,пациент,-5.1,-13.5,21.5,False,-0.29
только MLKL,1,органоид,-6.0,-12.2,11.7,False,-0.5
только MLKL,1,2D,0.0,-0.2,0.4,False,0.01
только PGAM5,1,здоровая,-24.7,-25.7,38.0,False,-0.78
только PGAM5,1,пациент,-15.7,-13.5,21.5,True,-0.9
только PGAM5,1,органоид,-2.7,-12.2,11.7,False,-0.23
только PGAM5,1,2D,-0.2,-0.2,0.4,False,-0.57
