источник,файл,байт,sha256,статус
DepMap,OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv,538420733,90bfdbe5c44cbb8f822e655ba7f179f3033933116285b6b2f85153b2d3d17c75,использован
DepMap,Model.csv,699474,9dbb9de8805696c1345816ab07edd23fb4fd95e117739f3c5c3b1cf062c1233b,использован
DepMap,DepMap_NextGen_3D_core_files.zip,90612860,4653e141fbe68f870f3ed35bae2cb2d5163a1a7f2a6f4e1247288228149e92f0,использован
DepMap,harmonized_MS_CCLE_Gygi.csv,63756333,f0ba47060bf090b370a2af193d42c30425018e2927759a7502de5c868770dda6,использован
DepMap,uniprot_hugo_entrez_id_mapping.csv,347900,3e101fdf20ffca4b7abd1492a5a821b086e74f01adabcd043090543734329a58,использован
Tabula Sapiens v2,healthy__Tabula_Sapiens_-_Large_Intestine.h5ad,1021953432,b414f91beaf3698cc07e6f086b8157b6ecc209da27a52e582e986f639ed9ca95,использован
Tabula Sapiens v2,healthy__Tabula_Sapiens_-_Lung.h5ad,3196847981,fc804117a0beadbe1c8aae5e778b8d984f655c9e22280038b32813ee0d916a8f,использован
Tabula Sapiens v2,healthy__Tabula_Sapiens_-_Mammary.h5ad,1334205970,f54c35d770bf758a7747208abc7c328be4c42ae11fbe24615dfb19bc6b4104de,использован
Tabula Sapiens v2,healthy__Tabula_Sapiens_-_Prostate.h5ad,899351790,d18c39af4eeb993f969e5f703e1d7bfee2163da71a71f0afbeb20b0974ec8366,использован
Tabula Sapiens v2,healthy__Tabula_Sapiens_-_Skin.h5ad,508729263,9965e67597c926ee491dc30286f25b4e3b1f38db05607a0a385b40f8e8b7f157,использован
Tabula Sapiens v2,healthy_ts__TabulaSapiens_Ovary.h5ad,1815903205,f0c3d3c8eec6c58976fd76e65462cc67931d0d94b44002680922c5042007e7a3,использован
Tabula Sapiens v2,healthy_ts__TabulaSapiens_Pancreas.h5ad,740284996,ddd978f93569f378420e8be0e7007062a11514d35ecc76f8294b81090b79c40c,использован
Tabula Sapiens v2,healthy_ts__TabulaSapiens_Stomach.h5ad,1074979948,0a2475546aff93b2519368ada16a8d8e832284fbdbc3821d765cd24d3f57994f,использован
Kang pan-cancer atlas,pancancer_kang__Documentation_for_scRNA-seq_dataset_xlsx.h5ad,17772,fc16e489b72d82a371d677581080415e8a79e8e79f707e984866d4520b5c1356,использован
Kang pan-cancer atlas,pancancer_kang__analysis_codes_tar.tar,153600,a3fa44c0eca5b672ec756c362d253a2523fdafeecd99800e1874340c272af8d2,использован
Kang pan-cancer atlas,pancancer_kang__atlas_dataset_tar.tar,10546974720,43ca632a1848cbc397b306d186426443ccd3c1c25f3115c3c93cabf1865da8c9,использован
Kang pan-cancer atlas,pancancer_kang__scjp_tar.tar,12298240,75aec068cdf27ffa64d5610a934e04efe3d757f1acd56357f6096511185f3a18,использован
Zhou 2026 screen,41419_2026_9248_MOESM4_ESM.rar,67423,37ae6401f7ea0736b2ab12b0e5764d07c0c3aafc0919bdc584fd292b972a7711,использован
Zhou 2026 screen,41419_2026_9248_MOESM5_ESM.rar,3422477,fcac3bd3ff87c1ee9dce4b0035a4773603d7ff6a061a78a9fc7e6b6bf1c7e8af,использован
