слой,орган,organ_en,ModelID,OncotreeCode,OncotreePrimaryDisease,GrowthPattern
2D,лёгкое,Lung,ACH-001113,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-001098,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000708,READ,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000327,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000769,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000528,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000828,ILC,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000421,READ,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-001375,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000800,SCLC,Lung Neuroendocrine Tumor,Adherent
2D,желудок,Stomach,ACH-000678,TSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-000123,SCCO,Ovarian Epithelial Tumor,Adherent
2D,панкреас,Pancreas,ACH-001377,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000138,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000117,BRCA,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000999,COAD,Colorectal Adenocarcinoma,Adherent
2D,желудок,Stomach,ACH-000633,DSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000585,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000520,HGSOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000176,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000587,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000785,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000627,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000704,SOC,Ovarian Epithelial Tumor,Adherent
2D,молочная,Breast,ACH-000276,IDC,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000554,ILC,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000818,IDC,Invasive Breast Carcinoma,Adherent
2D,желудок,Stomach,ACH-000880,STAD,Esophagogastric Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000392,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000035,NSCLC,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000856,BRCA,Invasive Breast Carcinoma,Adherent
2D,кишка,Colon,ACH-000552,COAD,Colorectal Adenocarcinoma,Adherent
2D,панкреас,Pancreas,ACH-000222,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000798,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000894,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,яичник,Ovary,ACH-000608,MOV,Ovarian Epithelial Tumor,Adherent
2D,кишка,Colon,ACH-000501,COAD,Colorectal Adenocarcinoma,Adherent
2D,желудок,Stomach,ACH-000344,DSTAD,Esophagogastric Adenocarcinoma,Adherent
2D,молочная,Breast,ACH-000223,IDC,Invasive Breast Carcinoma,Adherent
2D,панкреас,Pancreas,ACH-000031,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000638,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000596,LCLC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-000332,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000998,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-001456,COADREAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000971,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-001454,COAD,Colorectal Adenocarcinoma,Adherent
2D,кишка,Colon,ACH-000926,COAD,Colorectal Adenocarcinoma,Adherent
2D,лёгкое,Lung,ACH-000578,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,лёгкое,Lung,ACH-000033,LUAD,Non-Small Cell Lung Cancer,Adherent
2D,молочная,Breast,ACH-000019,BRCA,Invasive Breast Carcinoma,Adherent
2D,молочная,Breast,ACH-000330,IDC,Invasive Breast Carcinoma,Adherent
2D,лёгкое,Lung,ACH-000481,LUSC,Non-Small Cell Lung Cancer,Adherent
2D,панкреас,Pancreas,ACH-001382,PAAD,Pancreatic Adenocarcinoma,Adherent
2D,яичник,Ovary,ACH-001403,SOC,Ovarian Epithelial Tumor,Adherent
2D,лёгкое,Lung,ACH-000690,LUSC,Non-Small Cell Lung Cancer,Adherent
