слой,орган,идентификатор
здоровая,кишка,TSP14||Epithelium
здоровая,кишка,TSP25||Epithelium
здоровая,кишка,TSP26||Epithelium
здоровая,кишка,TSP27||Epithelium
здоровая,кишка,TSP2||Epithelium
здоровая,лёгкое,TSP14||Epithelium
здоровая,лёгкое,TSP1||Epithelium
здоровая,лёгкое,TSP25||Epithelium
здоровая,лёгкое,TSP2||Epithelium
здоровая,молочная,TSP27||Epithelium
здоровая,молочная,TSP4||Epithelium
здоровая,яичник,TSP27||Epithelium
здоровая,яичник,TSP28||Epithelium
здоровая,яичник,TSP30||Epithelium
здоровая,панкреас,TSP1||Epithelium
здоровая,панкреас,TSP27||Epithelium
здоровая,панкреас,TSP9||Epithelium
здоровая,желудок,TSP20||Epithelium
здоровая,желудок,TSP25||Epithelium
здоровая,желудок,TSP27||Epithelium
пациент,желудок,gc_GSE163558|gc_GSE163558_PT1
пациент,желудок,gc_GSE163558|gc_GSE163558_P1
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient007
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient008
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient009
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient009
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient012
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient013
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient014
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient016
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient017
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient020
пациент,кишка,crc_GSE166555|crc_GSE166555_Patient026
пациент,кишка,crc_GSE188711|crc_GSE188711_GSM5688707
пациент,кишка,crc_GSE188711|crc_GSE188711_GSM5688709
пациент,кишка,crc_GSE188711|crc_GSE188711_GSM5688711
пациент,кишка,crc_HOLee_GSE132257|crc_HOLee_GSE132465_SMC13
пациент,кишка,crc_HOLee_GSE132465|crc_HOLee_GSE132465_SMC04
пациент,кишка,crc_HOLee_GSE132465|crc_HOLee_GSE132465_SMC14
пациент,кишка,crc_HOLee_GSE132465|crc_HOLee_GSE132465_SMC15
пациент,кишка,crc_HOLee_GSE132465|crc_HOLee_GSE132465_SMC17
пациент,кишка,crc_HOLee_GSE132465|crc_HOLee_GSE132465_SMC20
пациент,кишка,crc_HOLee_GSE144735|crc_HOLee_GSE132465_KUL21
пациент,кишка,crc_pan_blueprint|crc_pan_blueprint_33
пациент,кишка,crc_pan_blueprint|crc_pan_blueprint_33
пациент,кишка,crc_pan_blueprint|crc_pan_blueprint_35
пациент,кишка,crc_pan_blueprint|crc_pan_blueprint_35
пациент,кишка,crc_pan_blueprint|crc_pan_blueprint_37
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN05
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN11
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN27
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN28
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN29
пациент,лёгкое,lu_HRA000154|lu_HRA000154_SSN30
пациент,лёгкое,lu_adc_GSE123902|lu_adc_GSE123902_MSK_LX666
пациент,лёгкое,lu_adc_GSE123902|lu_adc_GSE123902_MSK_LX255B
