branch	gene	в_панели
extrinsic_apoptosis	TNFRSF1A	True
extrinsic_apoptosis	TNFRSF10A	True
extrinsic_apoptosis	TNFRSF10B	True
extrinsic_apoptosis	FAS	True
extrinsic_apoptosis	TRADD	True
extrinsic_apoptosis	FADD	True
extrinsic_apoptosis	CASP8	True
extrinsic_apoptosis	CASP10	True
extrinsic_apoptosis	CASP3	True
extrinsic_apoptosis	CASP7	True
extrinsic_apoptosis	BID	True
extrinsic_apoptosis	DEDD	True
mitochondrial_apoptosis	BAX	True
mitochondrial_apoptosis	BAK1	True
mitochondrial_apoptosis	BOK	True
mitochondrial_apoptosis	CYCS	True
mitochondrial_apoptosis	APAF1	True
mitochondrial_apoptosis	CASP9	True
mitochondrial_apoptosis	CASP3	True
mitochondrial_apoptosis	CASP7	True
mitochondrial_apoptosis	DIABLO	True
mitochondrial_apoptosis	HTRA2	True
mitochondrial_apoptosis	BBC3	True
mitochondrial_apoptosis	DFFA	True
mitochondrial_apoptosis	DFFB	True
mitochondrial_apoptosis	ENDOG	True
mitochondrial_apoptosis	CASP6	True
necroptosis	RIPK3	True
necroptosis	MLKL	True
necroptosis	RIPK1	True
necroptosis	ZBP1	True
necroptosis	PGAM5	True
necroptosis	SPATA2	True
necroptosis	CYLD	True
pyroptosis_GSDMD	GSDMD	True
pyroptosis_GSDMD	CASP1	True
pyroptosis_GSDMD	CASP4	True
pyroptosis_GSDMD	CASP5	True
pyroptosis_GSDMD	CASP12	True
pyroptosis_GSDMD	PYCARD	True
pyroptosis_GSDMD	NLRP3	True
pyroptosis_GSDMD	NLRP1	True
pyroptosis_GSDMD	NLRC4	True
pyroptosis_GSDMD	AIM2	True
pyroptosis_GSDMD	NLRP6	True
pyroptosis_GSDMD	NLRP12	True
pyroptosis_GSDMD	MEFV	True
pyroptosis_GSDMD	CARD8	True
pyroptosis_GSDMD	NAIP	True
pyroptosis_GSDMD	IL18	True
pyroptosis_GSDMD	IL1B	True
pyroptosis_GSDMD	NINJ1	True
pyroptosis_GSDMD	GSDMA	True
pyroptosis_GSDMD	GSDMB	True
pyroptosis_GSDMD	GSDMC	True
pyroptosis_GSDME	GSDME	True
pyroptosis_GSDME	CASP3	True
inputs	IFNGR1	True
inputs	IFNGR2	True
inputs	JAK1	True
inputs	JAK2	True
inputs	STAT1	True
inputs	IRF1	True
inputs	TLR3	True
inputs	TLR4	True
inputs	TICAM1	True
inputs	MAP3K7	True
inputs	STING1	True
inputs	TBK1	True
inputs	RIGI	True
inputs	IFIH1	True
inputs	MAVS	True
inputs	IFI16	True
inputs	DHX9	True
inputs	DPP9	True
inputs	APIP	True
inputs	IFNAR1	True
inputs	IFNAR2	True
inputs	TYK2	True
inputs	STAT2	True
inputs	IRF3	True
inputs	IRF7	True
inputs	IKBKE	True
inputs	MYD88	True
inputs	OAS1	True
inputs	OASL	True
inputs	SP100	True
inputs	TNFSF10	True
inputs	FASLG	True
inputs	TNF	True
inputs	IFNG	True
regulators_brakes	CFLAR	True
regulators_brakes	BIRC2	True
regulators_brakes	BIRC3	True
regulators_brakes	XIAP	True
regulators_brakes	TNFAIP3	True
regulators_brakes	CYLD	True
regulators_brakes	OTULIN	True
regulators_brakes	SPATA2	True
regulators_brakes	BCL2	True
regulators_brakes	BCL2L1	True
regulators_brakes	MCL1	True
regulators_brakes	ADAR	True
regulators_brakes	TRAF5	True
regulators_brakes	APIP	True
